Username;Followers;Avg_Likes;Avg_Comments;Avg_Views;Engagement_Rate;Niche;Price;Views_from_Collab;Likes_from_Collab;Comments_from_Collab;Share_from_Collab;CPM;Rating;;
daffacho;471000;2997;45;37945;0.0065;3;4000000;150000;4239;59;118;26666,66667;3;;
chaltonciptadi;44200;1531;58;19383;0.0360;1;3000000;151000;4243;205;725;19867,54967;4;;
m.chsn;12400;992;22;2183;0.0814;1;150000;5392;158;7;1;27818,9911;3;;
joshua8896;27500;664;5;932;0.0244;1;1500000;23400;797;9;50;64102,5641;2;;
aldooolim;114000;4468;69;16069;0.0398;1;3000000;80000;2442;97;88;37500;2;;
_bintagn;93700;21578;50;150000;0.2303;1;700000;116000;2239;38;41;6034,482759;4;;
muhammadcarlos;60700;1332;39;14247;0.0226;6;3000000;150000;4240;200;720;20000;3;;
prassetyoaji12;72400;6851;133;69868;0.0964;3;600000;90200;5368;133;507;6651,884701;4;;
albrtf;10500;1107;76;27863;0.1127;1;700000;18700;486;9;6;37433,15508;2;;
daffacho;471000;2997;45;37945;0.0065;3;200000;12500;174;4;38;16000;4;;
daffacho;471000;2997;45;37945;0.0065;3;200000;11600;92;1;7;17241,37931;4;;
hasbi.muhamad12;9825;451;7;2373;0.0467;3;250000;7327;523;22;14;34120,37669;3;;
riizkis_;9778;324;4;1577;0.0335;3;200000;18700;1419;55;127;10695,18717;4;;
m.rezakim;13500;113;7;4232;0.0090;6;150000;17000;1372;52;37;8823,529412;4;;
mrgoodboys21;6852;404;11;1571;0.0607;3;200000;9292;427;21;8;21523,89152;3;;
itseccojunio;34900;2851;33;2691;0.0824;6;500000;12700;644;23;32;39370,07874;2;;
almuzafri;22300;1294;20;1362;0.0585;3;200000;6960;469;25;1;28735,63218;3;;
sikurus_77;36900;2787;15;1680;0.0759;3;450000;30000;2209;46;96;15000;4;;
aiman_mahenda21;19700;6019;131;2003;0.3110;5;150000;14200;1023;104;763;10563,38028;4;;
